5.40  0.046451 -0.953549  1.534683  0.023782
5.45  0.021314 -0.978686  1.924189  0.010772
5.50  0.005736 -0.994264  2.580522  0.002876
5.55  0.000026 -0.999974  5.279232  0.000013
5.60  0.004299 -0.995701  2.724679  0.002154
5.65  0.018470 -0.981530  1.995813  0.009321
5.70  0.042255 -0.957745  1.582018  0.021587
5.75  0.075180 -0.924820  1.293937  0.039078
5.80  0.116587 -0.883413  1.074560  0.061981
5.85  0.165649 -0.834351  0.898941  0.090551
5.90  0.221388 -0.778612  0.753920  0.125121
5.95  0.282689 -0.717311  0.631704  0.166123
6.00  0.348330 -0.651670  0.527303  0.214108
6.05  0.416998 -0.583002  0.437337  0.269783
6.10  0.487324 -0.512676  0.359413  0.334056
6.15  0.557903 -0.442097  0.291785  0.408113
6.20  0.627326 -0.372674  0.233144  0.493526
6.25  0.694207 -0.305793  0.182493  0.592424
6.30  0.757210 -0.242790  0.139057  0.707779
6.35  0.815077 -0.184923  0.102236  0.843909
6.40  0.866654 -0.133346  0.071558  1.007403
6.45  0.910909 -0.089091  0.046656  1.209050
6.50  0.946960 -0.053040  0.027249  1.468356
6.55  0.974087 -0.025913  0.013127  1.826502
6.60  0.991748 -0.008252  0.004143  2.398622
6.65  0.999590 -0.000410  0.000205  3.899285
6.70  0.997457 -0.002543  0.001273  2.987139
6.75  0.985391 -0.014609  0.007358  2.113062
6.80  0.963634 -0.036366  0.018522  1.657059
6.85  0.932619 -0.067381  0.034879  1.348699
6.90  0.892967 -0.107033  0.056603  1.117309
6.95  0.845468 -0.154532  0.083932  0.933678
7.00  0.791072 -0.208928  0.117183  0.782882
7.05  0.730863 -0.269137  0.156764  0.656268
7.10  0.666046 -0.333954  0.203199  0.548375
7.15  0.597912 -0.402088  0.257156  0.455543
7.20  0.527824 -0.472176  0.319496  0.375202
7.25  0.457180 -0.542820  0.391339  0.305489
7.30  0.387391 -0.612609  0.474160  0.245015
7.35  0.319851 -0.680149  0.569950  0.192722
7.40  0.255908 -0.744092  0.681469  0.147795
7.45  0.196838 -0.803162  0.812687  0.109599
7.50  0.143821 -0.856179  0.969591  0.077638
7.55  0.097917 -0.902083  1.161820  0.051524
7.60  0.060040 -0.939960  1.406372  0.030959
7.65  0.030948 -0.969052  1.737724  0.015718
7.70  0.011221 -0.988779  2.244970  0.005642
7.75  0.001254 -0.998746  3.340711  0.000627
7.80  0.001245 -0.998755  3.344321  0.000623
7.85  0.011194 -0.988806  2.246169  0.005629
7.90  0.030904 -0.969096  1.738439  0.015696
7.95  0.059979 -0.940021  1.406878  0.030927
8.00  0.097841 -0.902159  1.162207  0.051482
8.05  0.143732 -0.856268  0.969903  0.077586
8.10  0.196736 -0.803264  0.812945  0.109536
8.15  0.255796 -0.744204  0.681687  0.147720
8.20  0.319732 -0.680268  0.570136  0.192634
8.25  0.387267 -0.612733  0.474320  0.244913
8.30  0.457053 -0.542947  0.391478  0.305372
8.35  0.527697 -0.472303  0.319617  0.375067
8.40  0.597787 -0.402213  0.257260  0.455387
8.45  0.665925 -0.334075  0.203289  0.548195
8.50  0.730750 -0.269250  0.156842  0.656058
8.55  0.790968 -0.209032  0.117249  0.782634
8.60  0.845376 -0.154624  0.083987  0.933379
8.65  0.892888 -0.107112  0.056647  1.116940
8.70  0.932555 -0.067445  0.034913  1.348224
8.75  0.963586 -0.036414  0.018547  1.656401
8.80  0.985360 -0.014640  0.007374  2.112014
8.85  0.997444 -0.002556  0.001280  2.984614
8.90  0.999595 -0.000405  0.000203  3.905607
8.95  0.991771 -0.008229  0.004132  2.400023
9.00  0.974127 -0.025873  0.013107  1.827285
9.05  0.947017 -0.052983  0.027219  1.468896
9.10  0.910982 -0.089018  0.046616  1.209458
9.15  0.866741 -0.133259  0.071508  1.007729
9.20  0.815177 -0.184823  0.102175  0.844177
9.25  0.757320 -0.242680  0.138985  0.708005
9.30  0.694325 -0.305675  0.182408  0.592616
9.35  0.627450 -0.372550  0.233046  0.493692
9.40  0.558030 -0.441970  0.291671  0.408257
9.45  0.487452 -0.512548  0.359282  0.334180
9.50  0.417124 -0.582876  0.437186  0.269891
9.55  0.348451 -0.651549  0.527129  0.214201
9.60  0.282804 -0.717196  0.631500  0.166203
9.65  0.221494 -0.778506  0.753680  0.125189
9.70  0.165744 -0.834256  0.898655  0.090608
9.75  0.116669 -0.883331  1.074209  0.062027
9.80  0.075247 -0.924753  1.293490  0.039114
9.85  0.042306 -0.957694  1.581411  0.021614
9.90  0.018504 -0.981496  1.994883  0.009339
9.95  0.004316 -0.995684  2.722738  0.002163
